CERIF;;
H000;1;Humanities
H001;2;Philosophy
H120;3;Systematic philosophy, ethics, aesthetics, metaphysics, epistemology, ideology
H125;3;Philosophical anthropology
H130;3;History of philosophy
H135;3;Phenomenology
H140;3;Philosophical logic
H150;3;Philosophy of special sciences
H155;3;Moral science
H002;2;Theology
H160;3;General, systematic and practical Christian theology
H165;3;Canon law
H170;3;Bible
H180;3;History of the Christian church
H190;3;Non-Christian religions
H005;2;History
H200;3;Theory of history
H210;3;Ancient history
H220;3;Medieval history
H230;3;Modern history (up to circa 1800)
H240;3;Contemporary history (circa 1800 to 1914)
H250;3;Contemporary history (since 1914)
H260;3;History of science
H270;3;Social and economic history
H271;3;Political history
H280;3;Local and regional history, historical geography since the Middle Ages
H290;3;Colonial history
H300;3;History of law
H006;2;Arts
H310;3;Art history
H311;3;Painting
H312;3;Sculpture and architecture
H313;3;Art criticism
H314;3;Preservation and restoration of art works
H315;3;Aesthetics
H320;3;Musicology
H330;3;Dramatic art
H340;3;Archaeology
H341;3;Prehistory
H345;3;Egyptology
H346;3;Numismatics and sigillography
H347;3;Genealogy and heraldry
H004;2;Philology
H350;3;Linguistics
H351;3;Phonetics, phonology
H352;3;Grammar, semantics, semiotics, syntax
H353;3;Lexicology
H355;3;History of language
H360;3;Applied linguistics, foreign languages teaching, sociolinguistics
H361;3;Neurolinguistics
H365;3;Translation
H370;3;Onomastics
H380;3;Comparative linguistics
H390;3;General and comparative literature, literary criticism, literary theory
H400;3;Folklore
H401;3;Dialectology
H410;3;Indo-European languages and literatures of Asia Minor, Indo-Iranian
H420;3;Greek language
H430;3;Greek literature
H440;3;Latin language
H450;3;Latin literature
H460;3;French language
H470;3;French literature
H480;3;Italian language and literature
H490;3;Spanish and Portuguese language and literature
H500;3;Other Romance languages and literatures
H510;3;Celtic languages and literatures
H520;3;Germanic philology
H530;3;German language and literature
H540;3;Dutch language
H550;3;Dutch literature
H560;3;Frisian language and literature
H570;3;English language and literature
H580;3;Scandinavian languages and literatures
H590;3;Baltic and Slavonic languages and literatures
H595;3;Russian language and literature
H600;3;Languages and literatures of Asia Minor, Caucasian languages and literatures, Basque, Sumerian
H610;3;Hamito-Semitic languages and literatures
H620;3;Uralian and Altaic languages and literatures
H630;3;Paleo-Siberian languages and literatures, Korean, Japanese
H640;3;Languages and literatures of South and South-East Asia, Chinese
H650;3;Austronesian and Papuan languages and literatures
H660;3;African languages and literatures
H670;3;American languages and literatures: Creole languages
H007;2;Other humanities
H100;3;Documentation, information, library science, archivistics
H105;3;Bibliography
H110;3;Paleography, bibliology, epigraphy, papyrology
S000;1;Social Sciences
S110;2;Juridical sciences
S111;3;Administrative law
S112;3;Human rights
S114;3;Comparative law
S115;3;Philosophy and theory of law
S120;3;Environmental law
S121;3;Juvenile law
S122;3;Media law
S123;3;Informatics law
S124;3;Patents, copyrights, trademarks
S130;3;Civil law: persons, family, marriage contract, successions, gifts, property, obligations, guarantees
S136;3;Transportation law
S137;3;Insurance law
S140;3;Public law
S141;3;Fiscal law
S142;3;Judicial law
S143;3;Social law
S144;3;Industrial and commercial law
S145;3;Notarial law
S146;3;Labour law
S148;3;Constitutional law
S149;3;Criminal law, criminal proceedings
S150;3;International private and public law
S151;3;Aerial, maritime and space law
S155;3;European law
S160;3;Criminology
S170;2;Political and administrative sciences
S175;3;Polemology
S180;2;Economics, econometrics, economic theory, economic systems, economic policy
S181;3;Financial science
S182;3;Actuarial science
S183;3;Cyclical economics
S184;3;Economic planning
S185;3;Commercial and industrial economics
S186;3;International commerce
S187;3;Agricultural economics
S188;3;Economics of development
S189;3;Organizational science
S190;3;Management of enterprises
S191;3;Market study
S192;3;Accounting
S195;3;Development cooperation
S196;3;Social economics
S210;2;Sociology
S211;3;Sociology of science
S212;3;Sociology of labour, sociology of enterprise
S213;3;Social structures
S214;3;Social changes, theory of social work
S215;3;Social problems and welfare, national insurance
S216;3;Care and help to handicapped
S220;3;Cultural anthropology, ethnology
S230;3;Social geography
S240;3;Town and country planning
S250;3;Demography
S260;2;Psychology
S261;3;Differential and individual psychology
S262;3;Development psychology
S263;3;Social psychology
S264;3;Applied and experimental psychology
S265;3;Press and communication sciences
S266;3;Industrial psychology
S270;2;Pedagogy and didactics
S271;3;Special didactics
S272;3;Teacher education
S273;3;Physical training, motorial learning, sport
S274;3;Research methodology in science
S280;3;Adult education, permanent education
S281;3;Computer-assisted education
S282;3;Comparative and historical pedagogy
S283;3;Psychopedagogy
S284;3;Experimental pedagogy
S285;3;Social pedagogy
S286;3;Orthopedagogy
S290;3;Social medicine
S009;2;Other social sciences
S100;3;History and philosophy of the social sciences
P000;1;Natural sciences and mathematics
P001;2;Mathematics
P110;3;Mathematical logic, set theory, combinatories
P120;3;Number theory, field theory, algebraic geometry, algebra, group theory
P130;3;Functions, differential equations
P140;3;Series, Fourier analysis, functional analysis
P150;3;Geometry, algebraic topology
P160;3;Statistics, operations research, programming, actuarial mathematics
P170;2;Computer science, numerical analysis, systems, control
P175;3;Informatics, systems theory
P176;3;Artificial intelligence
P002;2;Physics
P180;3;Metrology, physical instrumentation
P190;3;Mathematical and general theoretical physics, classical mechanics, quantum mechanics, relativity, gravitation, statistical physics, thermodynamics
P200;3;Electromagnetism, optics, acoustics
P210;3;Elementary particle physics, quantum field theory
P211;3;High energy interactions, cosmic rays
P220;3;Nuclear physics
P230;3;Atomic and molecular physics
P240;3;Gases, fluid dynamics, plasmas
P250;3;Condensed matter: structure, thermal and mechanical properties, crystallography, phase equilibria
P260;3;Condensed matter: electronic structure, electrical, magnetic and optical properties, supraconductors, magnetic resonance, relaxation, spectroscopy
P265;3;Semiconductory physics
P003;2;Chemistry
P300;3;Analytical chemistry
P305;3;Environmental chemistry
P351;3;Structure chemistry
P352;3;Surface and boundary layery chemistry
P360;3;Inorganic chemistry
P370;3;Macromolecular chemistry
P380;3;Nuclear chemistry
P390;3;Organic chemistry
P395;3;Organometallic chemistry
P400;3;Physical chemistry
P401;3;Electrochemistry
P402;3;Photochemistry
P410;3;Theoretical chemistry, quantum chemistry
P004;2;Biochemistry, Metabolism
P310;3;Proteins, enzymology
P320;3;Nucleic acids, protein synthesis
P330;3;Bioenergetics
P340;3;Lipids, steroids, membranes
P005;2;Geology, physical geography
P420;3;Petrology, mineralogy, geochemistry
P430;3;Mineral deposits, economic geology
P440;3;Tectonics
P450;3;Stratigraphy
P460;3;Sedimentology
P470;3;Hydrogeology, geographical and geological engineering
P500;3;Geophysics, physical oceanography, meteorology
P510;3;Physical geography, geomorphology, pedology, cartography, climatology
P515;3;Geodesy
P006;2;Palaeontology
P007;2;Astronomy
P520;3;Astonomy, space research, cosmic chemistry
P008;2;Other natural sciences
B000;1;Biomedical sciences
B002;2;Biophysics
B120;3;Molecular biophysics
B130;3;Physiological biophysics
B140;3;Clinical physics, radiology, tomography, medical instrumentation
B145;3;Nuclear medicine, radiobiology
B190;3;Clinical chemistry
B191;3;Plant biochemistry
B200;3;Cytology, oncology, cancerology
B210;3;Histology, cytochemistry, histochemistry, tissue culture
B220;2;Genetics, cytogenetics
B225;3;Plant genetics
B230;2;Microbiology, bacteriology, virology, mycology
B235;3;Protozoology
B240;3;Parasitology (human and animal)
B250;3;Entomology, plant parasitology
B260;3;Hydrobiology, marine biology, aquatic ecology, limnology
B003;2;Ecology
B270;3;Plant ecology
B280;3;Animal ecology
B004;2;Botany
B290;3;Systematic botany, taxonomy, morphology, phytogeography, chemotaxonomy. Physiology of onvascular plants
B300;3;Palaeobotany, phylogeny, palynology
B310;3;Physiology of vascular plants
B005;2;Zoology
B320;3;Systematic zoology, taxonomy, zoogeopraphy
B330;3;Palaeozoology, phylogeny
B340;3;Animal anatomy, animal morphology
B350;3;Development biology, growth (animal), ontogeny, embryology
B360;3;Animal physiology
B361;3;Physiology of invertebrates
B370;3;Endocrinology of invertebrates
B380;3;Animal ethology and psychology
B381;3;Human ethology
B006;2;Agronomics
B390;3;Phytotechny, horticulture, crop protection, phytopathology
B400;3;Zootechny, animal husbandry, breeding
B401;3;Aviculture
B402;3;Aquaculture, pisciculture
B410;3;Soil science, agricultural hydrology
B420;3;Nutrition
B430;3;Sylviculture, forestry, forestry technology
B431;3;Tropical agriculture
B432;3;Ornamental plants
B433;3;Fixation of nitrogen
B434;3;Agrochemistry
B435;3;History of agriculture
B007;2;Medicine (human and vertebrates)
B440;3;Human anatomy and morphology
B450;3;Development biology, teratology, ontogeny, embryology (human)
B460;3;Physical anthropology
B470;3;Physiology
B480;3;Endocrinology, secreting systems, diabetology
B490;3;Haematology, extracellular fluids
B500;3;Immunology, serology, transplantation
B510;3;Infections
B520;3;General pathology, pathological anatomy
B530;3;Cardiovascular system
B540;3;Respiratory system
B550;3;Gastro-enterology
B560;3;Urology, nephrology
B570;3;Obstetrics, gynaecology, andrology, reproduction, sexuality
B580;3;Skeleton, muscle system, rheumatology locomotion
B590;3;Anaesthesiology, intensive care
B600;3;Surgery, orthopaedics, traumatology
B610;3;Otorhinolaryngology, audiology, auditive system and speech
B620;3;Ophtalmology
B630;3;Dermatology, venereology
B640;3;Neurology, neuropsychology, neurophysiology
B650;3;Psychiatry, clinical psychology, psychosomatics
B660;3;Pediatrics
B670;3;Gerontology
B680;3;Public health, epidemiology
B685;3;Hospital science and management
B690;3;Occupational health, industrial medicine
B700;3;Environmental health
B710;3;Physical medicine, kinesitherapy, revalidation, rehabilitation
B720;3;General practice, medical training
B725;3;Diagnostics
B726;3;Clinical biology
B730;3;Odontology, stomatology
B740;3;Pharmacological sciences, pharmacognosy, pharmacy, toxicology
B750;3;Veterinary medicine: surgery, physiology, pathology, clinical studies
B760;3;Psychonomics
B770;3;Legal medicine
B780;3;Tropical medicine
B790;3;Clinical genetics
B001;2;Other biomedical sciences
B100;3;History and philosophy of biomedical sciences, theoretical biology, general aspects of evolution
B110;3;Bioinformatics, medical informatics, biomathematics biometrics
B115;3;Biomechanics, cybernetics
T000;1;Technological sciences
T240;2;Architecture, interior design
T250;3;Landscape design
T260;3;Physical planning
T004;2;Engineering
T420;3;Agricultural engineering, agricultural machines, farmhouse construction
T180;3;Telecommunication engineering
T190;3;Electrical engineering
T191;4;High frequency technology, microwaves
T210;3;Mechanical engineering, hydraulics, vacuum technology, vibration and acoustic engineering
T455;4;Motors and propulsion systems
T200;3;Thermal engineering, applied thermodynamics
T005;2;Technology
T490;3;Biotechnology
T350;3;Chemical technology and engineering
T360;4;Biochemical technology
T370;4;Carbochemistry, petrochemistry, fuels and explosives technology
T380;4;Natural oils, fats and waxes technology
T390;4;Polymer technology, biopolymers
T400;4;Fine chemicals technology, colours
T440;4;Non-metallic mineral technology
T120;3;Systems engineering, computer technology
T111;4;Imaging, image processing
T125;4;Automation, robotics, control engineering
T002;3;Construction technology
T220;4;Civil engineering, hydraulic engineering, offshore technology, soil mechanics
T230;4;Building construction
T510;3;Chronology, dating techniques
T140;3;Energy research
T270;3;Environmental technology, pollution control
T110;3;Instrumentation technology
T165;4;Laser technology
T150;3;Material technology
T151;4;Optical materials
T152;4;Composite materials
T153;4;Ceramic materials and powders
T155;4;Coatings and surface treatment
T460;4;Wood, pulp and paper technology
T450;4;Metal technology, metallurgy, metal products
T115;3;Medical technology
T330;3;Military science and technology
T340;3;Mining
T160;3;Nuclear engineering and technology
T410;3;Pharmaceuticals and related technologies
T411;4;Radiopharmaceutical technology
T130;3;Production technology
T430;4;Food and drink technology
T470;4;Textiles technology
T480;4;Technology of other products
T181;3;Remote sensing
T500;3;Safety technology
T320;3;Space technology
T003;3;Transport technology 
T280;4;Road transport technology
T290;4;Railway transport technology
T300;4;Water transport technology
T310;4;Air transport technology
T001;3;Electronics and Electrical technology 
T170;4;Electronics
T171;4;Microelectronics
T121;4;Signal processing
T006;2;Other technological sciences
T100;3;History and philosophy of technology
